"gbifID","kingdom","phylum","class","order","family","species","scientificName","year","samplingProtocol","decimalLatitude","decimalLongitude","gender","count"
"2012823626","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2012,"culling - shooting",51.25928,4.27242,"male",1
"2012823627","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2013,"culling - shooting",51.24842,4.29638,"male",1
"2012823628","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2010,"culling - shooting",51.24842,4.29638,"male",1
"2012823629","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2011,"culling - shooting",51.24842,4.29638,"male",1
"2012823632","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2011,"culling - shooting",51.24829,4.22985,"male",1
"2012823633","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2011,"culling - shooting",51.25441,4.23658,"male",1
"2012823635","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2013,"culling - shooting",51.24842,4.29638,"male",1
"2012823643","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2010,"culling - shooting",51.24842,4.29638,"male",1
"2012823644","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2013,"culling - shooting",51.30462,4.34987,"male",1
"2012823646","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2012,"culling - shooting",51.25928,4.27242,"male",1
"2012823647","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2010,"culling - shooting",51.24842,4.29638,"male",1
"2012823648","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2010,"culling - shooting",51.24842,4.29638,"male",1
"2012823659","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2015,"culling - shooting",50.98584,4.50913,"male",1
"2012823660","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2014,"culling - shooting",51.06886,2.67718,"male",1
"2012823662","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2014,"culling - shooting",51.06375,4.43975,"male",1
"2012823663","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2014,"culling - shooting",51.1015,4.01453,"male",1
"2012823665","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2010,"culling - shooting",51.24842,4.29638,"male",1
"2012823666","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2014,"culling - shooting",50.83934,2.89668,"male",1
"2012823673","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2009,"culling - shooting",51.24842,4.29638,"male",2
"2012823681","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2016,"culling - shooting",51.32873,3.23106,"male",1
"2012823686","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2016,"culling - shooting",51.17638,2.92896,"male",1
"2012823691","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2017,"culling - shooting",51.24141,3.30152,"male",1
"2012823692","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2017,"culling - shooting",51.24842,4.29638,"male",2
"2012823697","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2017,"culling - shooting",50.98624,2.85161,"male",1
"2012823699","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Oxyura jamaicensis (Gmelin, 1789)",2017,"culling - shooting",51.02372,4.03352,"male",1
