"scientificName","taxonKey","rank","taxonomicStatus","kingdom","includes","gbifKey"
"Abies alba",2685484,"SPECIES","ACCEPTED","Plantae","2685484: Abies alba Mill.",152546516
"Abies grandis",2685361,"SPECIES","ACCEPTED","Plantae","2685361: Abies grandis (Douglas ex D.Don) Lindl.",152546517
"Abies homolepis",2685663,"SPECIES","ACCEPTED","Plantae","2685663: Abies homolepis Siebold & Zucc. | 2685664: Abies homolepis var. umbellata (Mayr) E.H.Wilson",NA
"Abies nordmanniana",2685552,"SPECIES","ACCEPTED","Plantae","2685552: Abies nordmanniana (Steven) Spach | 2685553: Abies nordmanniana subsp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen",152546515
"Abronia fragrans",NA,NA,NA,NA,NA,152546091
"Abutilon theophrasti",3152614,"SPECIES","ACCEPTED","Plantae","3152614: Abutilon theophrasti Medik.",152546258
"Acaena caesiiglauca",5370829,"SPECIES","ACCEPTED","Plantae","5370829: Acaena caesiiglauca (Bitter) Bergmans",NA
"Acalypha indica",NA,NA,NA,NA,NA,152546431
"Acanthospermum hispidum",3100375,"SPECIES","ACCEPTED","Plantae","3100375: Acanthospermum hispidum DC.",152544353
"Acanthus hungaricus",8116963,"SPECIES","ACCEPTED","Plantae","8116963: Acanthus hungaricus (Borbás) Baen.",NA
"Acanthus mollis",5415455,"SPECIES","ACCEPTED","Plantae","5415455: Acanthus mollis L.",152545551
"Acanthus spinosus",5415453,"SPECIES","ACCEPTED","Plantae","5415453: Acanthus spinosus L.",152545552
"Acartia tonsa",2114446,"SPECIES","ACCEPTED","Animalia","2114446: Acartia tonsa Dana, 1849",159748111
"Acer cappadocicum",7262908,"SPECIES","ACCEPTED","Plantae","7262908: Acer cappadocicum Gled.",152543368
"Acer cissifolium",7877018,"SPECIES","ACCEPTED","Plantae","3768287: Acer cissifolium (Siebold & Zucc.) K.Koch",152543373
"Acer japonicum",3767816,"SPECIES","ACCEPTED","Plantae","3767816: Acer japonicum Thunb.",152543360
"Acer monspessulanum",7262958,"SPECIES","ACCEPTED","Plantae","7262958: Acer monspessulanum L.",152543366
"Acer negundo",3189866,"SPECIES","ACCEPTED","Plantae","3189866: Acer negundo L.",152543380
"Acer palmatum",3189882,"SPECIES","ACCEPTED","Plantae","3189882: Acer palmatum Thunb.",152543355
"Acer pensylvanicum",3189836,"SPECIES","ACCEPTED","Plantae","3189836: Acer pensylvanicum L.",NA
"Acer rubrum",3189883,"SPECIES","ACCEPTED","Plantae","3189883: Acer rubrum L.",152543379
"Acer rufinerve",7263145,"SPECIES","ACCEPTED","Plantae","7263145: Acer rufinerve Siebold & Zucc.",152543363
"Acer saccharinum",3189837,"SPECIES","ACCEPTED","Plantae","3189837: Acer saccharinum L.",152543382
"Acer tataricum",4925890,"SUBSPECIES","ACCEPTED","Plantae","4925890: Acer tataricum subsp. ginnala (Maxim.) Wesm. | 3189845: Acer ginnala Maxim.",NA
"Acer tataricum ginnala",NA,NA,NA,NA,NA,152543370
"Acheta domesticus",1718308,"SPECIES","ACCEPTED","Animalia","1718308: Acheta domesticus (Linnaeus, 1758)",152544342
"Achillea ageratum",NA,NA,NA,NA,NA,152544041
"Achillea filipendulina",3120284,"SPECIES","ACCEPTED","Plantae","3120284: Achillea filipendulina Lam.",152544042
"Achillea nobilis",3120024,"SPECIES","ACCEPTED","Plantae","3120024: Achillea nobilis L.",152544046
"Achillea salicifolia salicifolia",NA,NA,NA,NA,NA,152544039
"Achnatherum calamagrostis",4142326,"SPECIES","ACCEPTED","Plantae","4142326: Achnatherum calamagrostis (L.) P.Beauv.",152546894
"Acipenser baerii",4287131,"SPECIES","ACCEPTED","Animalia","4287131: Acipenser baerii Brandt, 1869",152543465
"Acipenser gueldenstaedtii",2402129,"SPECIES","ACCEPTED","Animalia","2402129: Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",152543468
"Acipenser ruthenus",2402168,"SPECIES","ACCEPTED","Animalia","2402168: Acipenser ruthenus Linnaeus, 1758",152543470
"Acmella",NA,NA,NA,NA,NA,152544419
"Acmella oleracea",NA,NA,NA,NA,NA,152544421
"Aconitum napellus giganteum",NA,NA,NA,NA,NA,152546322
"Acorus calamus",2873769,"SPECIES","ACCEPTED","Plantae","2873769: Acorus calamus L.",152546592
"Acridotheres cristatellus",2489010,"SPECIES","ACCEPTED","Animalia","2489010: Acridotheres cristatellus (Linnaeus, 1758)",159747261
"Acridotheres ginginianus",2489004,"SPECIES","ACCEPTED","Animalia","2489004: Acridotheres ginginianus (Latham, 1790)",159747262
"Acridotheres tristis",2489005,"SPECIES","ACCEPTED","Animalia","2489005: Acridotheres tristis (Linnaeus, 1766)",159747264
"Actinidia chinensis hispida",NA,NA,NA,NA,NA,152545803
"Adenostyles alliariae",NA,NA,NA,NA,NA,152543997
"Adiantum aleuticum",2651843,"SPECIES","ACCEPTED","Plantae","2651843: Adiantum aleuticum (Rupr.) C.A.Paris",152547208
"Adiantum capillus-veneris",2651816,"SPECIES","ACCEPTED","Plantae","2651816: Adiantum capillus-veneris L.",152547207
"Adiantum raddianum",2651826,"SPECIES","ACCEPTED","Plantae","2651826: Adiantum raddianum C.Presl",NA
"Adonis annua",5371709,"SPECIES","ACCEPTED","Plantae","5371709: Adonis annua L.",152546325
"Adonis flammea",8246651,"SPECIES","ACCEPTED","Plantae","7809794: Adonis flammea var. flammea | 8246651: Adonis flammea Jacq.",152546324
"Aedes albopictus",1651430,"SPECIES","ACCEPTED","Animalia","1651430: Aedes albopictus (Skuse, 1894)",152544321
"Aedes japonicus",1652212,"SPECIES","ACCEPTED","Animalia","7346173: Aedes japonicus japonicus | 4519733: Ochlerotatus japonicus (Theobald, 1901) | 1652212: Aedes japonicus (Theobald, 1901) | 10094233: BOLD:AAC5210",152544324
"Aedes koreicus",1652150,"SPECIES","ACCEPTED","Animalia","1652150: Aedes koreicus (Edwards, 1917) | 10007333: BOLD:ACB6413",152544327
"Aegilops cylindrica",5289783,"SPECIES","ACCEPTED","Plantae","5289783: Aegilops cylindrica Host",152546809
"Aegilops geniculata",5289781,"SPECIES","ACCEPTED","Plantae","5289781: Aegilops geniculata Roth",152546808
"Aegilops triuncialis",NA,NA,NA,NA,NA,152546807
"Aegilops ventricosa",NA,NA,NA,NA,NA,152546806
"Aegopinella nitens",NA,NA,NA,NA,NA,152543600
"Aeschynomene americana",NA,NA,NA,NA,NA,152545230
"Aeschynomene indica",NA,NA,NA,NA,NA,152545231
"Aesculus hippocastanum",3189815,"SPECIES","ACCEPTED","Plantae","3189815: Aesculus hippocastanum L.",152543393
"Aesculus indica",NA,NA,NA,NA,NA,152543387
"Aesculus parviflora",3189828,"SPECIES","ACCEPTED","Plantae","3189828: Aesculus parviflora Walter",152543391
"Agapornis canus",2479555,"SPECIES","ACCEPTED","Animalia","2479555: Agapornis canus (Gmelin, 1788)",159747416
"Agapornis fischeri",2479544,"SPECIES","ACCEPTED","Animalia","2479544: Agapornis fischeri Reichenow, 1887",159747412
"Agapornis personatus",2479553,"SPECIES","ACCEPTED","Animalia","2479553: Agapornis personatus Reichenow, 1887",159747415
"Agapornis roseicollis",NA,NA,NA,NA,NA,159747414
"Agastache rugosa",7307327,"SPECIES","ACCEPTED","Plantae","7307327: Agastache rugosa (Fisch. & C.A.Mey.) Kuntze",152545698
"Agave americana",2767031,"SPECIES","ACCEPTED","Plantae","2767031: Agave americana L.",152546698
"Ageratina altissima",5400552,"SPECIES","ACCEPTED","Plantae","5400552: Ageratina altissima (L.) R.King & H.Rob.",152543827
"Ageratum houstonianum",5401760,"SPECIES","ACCEPTED","Plantae","5401760: Ageratum houstonianum Mill.",152543782
"Agrimonia repens",3001978,"SPECIES","ACCEPTED","Plantae","3001978: Agrimonia repens L.",NA
