"scientificName","taxonKey","rank","taxonomicStatus","kingdom","includes","gbifKey"
"Agropogon lutosus",4125930,"SPECIES","ACCEPTED","Plantae","4125930: Agropogon lutosus (Poir.) P.Fourn.",152546919
"Agrostis castellana",2706501,"SPECIES","ACCEPTED","Plantae","2706501: Agrostis castellana Boiss. & Reut.",152547132
"Agrostis exarata",2706526,"SPECIES","ACCEPTED","Plantae","2706526: Agrostis exarata Trin.",152547131
"Agrostis fouilladeana",4122968,"SPECIES","ACCEPTED","Plantae","4122968: Agrostis fouilladeana Lambinon & Verloove",152547130
"Agrostis scabra",2706444,"SPECIES","ACCEPTED","Plantae","2706444: Agrostis scabra Willd.",152547134
"Ailanthus altissima",3190653,"SPECIES","ACCEPTED","Plantae","3190653: Ailanthus altissima (Mill.) Swingle",152543298
"Aix galericulata",2498388,"SPECIES","ACCEPTED","Animalia","2498388: Aix galericulata (Linnaeus, 1758)",152543211
"Aix sponsa",2498387,"SPECIES","ACCEPTED","Animalia","2498387: Aix sponsa (Linnaeus, 1758)",152543210
"Akebia quinata",3033965,"SPECIES","ACCEPTED","Plantae","3033965: Akebia quinata (Houtt.) Decne.",152546382
"Alcea rosea",5406789,"SPECIES","ACCEPTED","Plantae","5406789: Alcea rosea L. | 8271405: Alcea rosea subsp. ficifolia (L.) Govaerts | 5406791: Alcea ficifolia L.",152546224
"Alcea rugosa",5617467,"SPECIES","ACCEPTED","Plantae","5617467: Alcea rugosa Alef.",152546225
"Alchemilla micans",3027791,"SPECIES","ACCEPTED","Plantae","8067405: Alchemilla acutiloba var. micans (Buser) B.Bock | 3027791: Alchemilla micans Buser",152544850
"Alchemilla mollis",3028528,"SPECIES","ACCEPTED","Plantae","3028528: Alchemilla mollis (Buser) Rothm.",152544852
"Alchemilla tytthantha",NA,NA,NA,NA,NA,152544853
"Alectoris chukar",2474029,"SPECIES","ACCEPTED","Animalia","2474029: Alectoris chukar (J.E.Gray, 1830)",159747542
"Alectoris graeca",2474055,"SPECIES","ACCEPTED","Animalia","2474055: Alectoris graeca (Meisner, 1804)",159747544
"Alectoris rufa",2474051,"SPECIES","ACCEPTED","Animalia","2474051: Alectoris rufa (Linnaeus, 1758) | 7191077: Alectoris rufa rufa",159747541
"Aleurodothrips fasciapennis",NA,NA,NA,NA,NA,152544422
"Allium ampeloprasum",2856037,"SPECIES","ACCEPTED","Plantae","7668251: Allium porrum L. | 2856037: Allium ampeloprasum L.",NA
"Allium carinatum",2855968,"SPECIES","ACCEPTED","Plantae","2855968: Allium carinatum L.",152546643
"Allium cepa",2857697,"SPECIES","ACCEPTED","Plantae","2857697: Allium cepa L.",152546651
"Allium christophii",NA,NA,NA,NA,NA,152546640
"Allium cristophii",2856780,"SPECIES","ACCEPTED","Plantae","2856780: Allium cristophii Trautv.",NA
"Allium hollandicum",2856920,"SPECIES","ACCEPTED","Plantae","2856920: Allium hollandicum R.M.Fritsch",152546652
"Allium karataviense",2856891,"SPECIES","ACCEPTED","Plantae","2856891: Allium karataviense Regel",NA
"Allium lusitanicum",2855705,"SPECIES","ACCEPTED","Plantae","2855705: Allium lusitanicum Lam.",152546641
"Allium macleanii",2857679,"SPECIES","ACCEPTED","Plantae","2857679: Allium macleanii Baker",152546650
"Allium moly",2855825,"SPECIES","ACCEPTED","Plantae","2855825: Allium moly L.",NA
"Allium nigrum",2855823,"SPECIES","ACCEPTED","Plantae","2855823: Allium nigrum L.",152546647
"Allium pendulinum",2856456,"SPECIES","ACCEPTED","Plantae","2856456: Allium pendulinum Ten.",152546642
"Allium ramosum",2857449,"SPECIES","ACCEPTED","Plantae","2857449: Allium ramosum L.",152546653
"Allium roseum",2855893,"SPECIES","ACCEPTED","Plantae","2855893: Allium roseum L.",152546648
"Allium schoenoprasum",2855860,"SPECIES","ACCEPTED","Plantae","2855860: Allium schoenoprasum L.",152546649
"Allium scorodoprasum",9177060,"SPECIES","ACCEPTED","Plantae","9177060: Allium scorodoprasum L.",152546639
"Allium triquetrum",2856457,"SPECIES","ACCEPTED","Plantae","2856457: Allium triquetrum L.",152546645
"Allium zebdanense",2857341,"SPECIES","ACCEPTED","Plantae","2857341: Allium zebdanense Boiss. & Noë",NA
"Allopeas clavulinum",NA,NA,NA,NA,NA,157092291
"Alnus cordata",2876607,"SPECIES","ACCEPTED","Plantae","2876607: Alnus cordata (Loisel.) Duby",152546185
"Alnus incana",9148577,"SPECIES","ACCEPTED","Plantae","9148577: Alnus incana (L.) Moench | 7226596: Alnus incana subsp. incana",152546182
"Alnus pubescens",2876571,"SPECIES","ACCEPTED","Plantae","2876571: Alnus pubescens Tausch",152546184
"Alnus spaethii",4097656,"SPECIES","ACCEPTED","Plantae","4097656: Alnus spaethii Callier",152546183
"Alonsoa linearis",7331548,"SPECIES","ACCEPTED","Plantae","3724078: Alonsoa intermedia Lodd.",159749052
"Alopochen aegyptiaca",2498252,"SPECIES","ACCEPTED","Animalia","2498252: Alopochen aegyptiaca (Linnaeus, 1766) | 2498253: Alopochen aegyptiacus (Linnaeus, 1766)",152543218
"Alternanthera sessilis",3084939,"SPECIES","ACCEPTED","Plantae","3084939: Alternanthera sessilis (L.) DC.",NA
"Alyssum desertorum",NA,NA,NA,NA,NA,152545432
"Alyssum montanum",3044912,"SPECIES","ACCEPTED","Plantae","3044912: Alyssum montanum L.",152545430
"Alyssum simplex",3045042,"SPECIES","ACCEPTED","Plantae","3045042: Alyssum simplex Rudolphi",152545429
"Amandava amandava",2493698,"SPECIES","ACCEPTED","Animalia","2493698: Amandava amandava (Linnaeus, 1758)",159747311
"Amandava subflava",NA,NA,NA,NA,NA,159747309
"Amaranthus albus",7905507,"SPECIES","ACCEPTED","Plantae","7905507: Amaranthus albus L.",152545934
"Amaranthus blitoides",5384395,"SPECIES","ACCEPTED","Plantae","5384395: Amaranthus blitoides S.Watson",152545942
"Amaranthus blitum",8911082,"SPECIES","ACCEPTED","Plantae","8911082: Amaranthus blitum L. | 7323358: Amaranthus blitum subsp. blitum",152545932
"Amaranthus bouchonii",5384361,"SPECIES","ACCEPTED","Plantae","5384361: Amaranthus bouchonii Thell. | 7482462: Amaranthus hybridus subsp. bouchonii (Thell.) Bolòs & Vigo",152545947
"Amaranthus caudatus",6109611,"SPECIES","ACCEPTED","Plantae","6109611: Amaranthus caudatus L.",152545936
"Amaranthus crispus",5384341,"SPECIES","ACCEPTED","Plantae","5384341: Amaranthus crispus (Lesp. & Thévenau) N.Terracc.",NA
"Amaranthus cruentus",5384390,"SPECIES","ACCEPTED","Plantae","5384390: Amaranthus cruentus L. | 5547889: Amaranthus hybridus var. chlorostachys (Willd.) Thell. | 7695818: Amaranthus hybridus subsp. cruentus (L.) Thell.",152545954
"Amaranthus deflexus",5384396,"SPECIES","ACCEPTED","Plantae","5384396: Amaranthus deflexus L.",152545941
"Amaranthus graecizans",5384373,"SPECIES","ACCEPTED","Plantae","5384373: Amaranthus graecizans L. | 7826322: Amaranthus graecizans subsp. silvestris (Vill.) Brenan",152545952
"Amaranthus hybridus",5384364,"SPECIES","ACCEPTED","Plantae","5384364: Amaranthus hybridus L. | 7323184: Amaranthus hybridus var. hybridus | 5547885: Amaranthus hybridus var. erythrostachys Moq. | 7323185: Amaranthus hybridus subsp. hybridus",152545950
"Amaranthus hypochondriacus",9080185,"SPECIES","ACCEPTED","Plantae","9080185: Amaranthus hypochondriacus L.",152545931
"Amaranthus mitchellii",7323810,"SPECIES","ACCEPTED","Plantae","7323810: Amaranthus mitchellii Benth.",NA
"Amaranthus muricatus",NA,NA,NA,NA,NA,152545956
"Amaranthus ozanonii",NA,NA,NA,NA,NA,152545933
"Amaranthus palmeri",5384393,"SPECIES","ACCEPTED","Plantae","5384393: Amaranthus palmeri S.Watson",152545953
"Amaranthus polygonoides",NA,NA,NA,NA,NA,152545957
"Amaranthus quitensis",7323711,"SPECIES","ACCEPTED","Plantae","7323711: Amaranthus quitensis Kunth",152545939
"Amaranthus retroflexus",6109534,"SPECIES","ACCEPTED","Plantae","6109534: Amaranthus retroflexus L.",152545935
"Amaranthus scleropoides",NA,NA,NA,NA,NA,152545949
"Amaranthus spinosus",5384401,"SPECIES","ACCEPTED","Plantae","5384401: Amaranthus spinosus L.",152545943
"Amaranthus standleyanus",5548401,"SPECIES","ACCEPTED","Plantae","5548401: Amaranthus standleyanus Parodi ex Covas",152545944
"Amaranthus thunbergii",5384383,"SPECIES","ACCEPTED","Plantae","5384383: Amaranthus thunbergii Moq.",152545951
"Amaranthus tuberculatus",5384347,"SPECIES","ACCEPTED","Plantae","5384345: Amaranthus rudis J.D.Sauer | 5384346: Amaranthus tamariscinus Nutt. | 5384347: Amaranthus tuberculatus (Moq.) Sauer",152545948
"Amaranthus viridis",5384334,"SPECIES","ACCEPTED","Plantae","5384334: Amaranthus viridis L.",152545955
"Amaranthus ×ralletii",7975549,"SPECIES","ACCEPTED","Plantae","7975549: Amaranthus ×ralletii Contré",NA
"Amazona amazonica",2479666,"SPECIES","ACCEPTED","Animalia","2479666: Amazona amazonica (Linnaeus, 1766)",159747426
"Amazona ochrocephala",2479612,"SPECIES","ACCEPTED","Animalia","2479612: Amazona ochrocephala (Gmelin, 1788)",159747425
"Amazonetta brasiliensis",2498411,"SPECIES","ACCEPTED","Animalia","2498411: Amazonetta brasiliensis (Gmelin, 1789)",159747092
"Amberboa moschata",NA,NA,NA,NA,NA,152544016
"Ambigolimax valentianus",8014163,"SPECIES","ACCEPTED","Animalia","8014163: Ambigolimax valentianus (A.Férussac, 1821)",NA
"Ambrosia artemisiifolia",8002952,"SPECIES","ACCEPTED","Plantae","8002952: Ambrosia artemisiifolia L. | 3110599: Ambrosia elatior L.",152544211
"Ambrosia psilostachya",3110686,"SPECIES","ACCEPTED","Plantae","3110689: Ambrosia coronopifolia Torr. & A.Gray | 3110686: Ambrosia psilostachya DC.",152544215
"Ambrosia trifida",3110588,"SPECIES","ACCEPTED","Plantae","3110588: Ambrosia trifida L.",152544217
"Ambystoma macrodactylum",2431965,"SPECIES","ACCEPTED","Animalia","2431965: Ambystoma macrodactylum Baird, 1850",NA
"Ameiurus melas",2340977,"SPECIES","ACCEPTED","Animalia","2340980: Ameirus melas (Rafinesque, 1820)",NA
"Ameiurus nebulosus",2340989,"SPECIES","ACCEPTED","Animalia","2340989: Ameiurus nebulosus (Lesueur, 1819)",NA
"Amelanchier lamarckii",NA,NA,NA,NA,NA,152544815
"Amelanchier spicata",3023852,"SPECIES","ACCEPTED","Plantae","3023852: Amelanchier spicata (Lam.) K.Koch",152544816
"Amelanchier ×lamarckii",3024109,"SPECIES","ACCEPTED","Plantae","3024109: Amelanchier ×lamarckii F.G.Schroed.",NA
"Amethystea caerulea",NA,NA,NA,NA,NA,152545725
"Ammannia coccinea",3188711,"SPECIES","ACCEPTED","Plantae","3188711: Ammannia coccinea Rottb.",152543399
"Ammi majus",3034182,"SPECIES","ACCEPTED","Plantae","3034182: Ammi majus L.",152544629
"Ammothea hilgendorfi",NA,NA,NA,NA,NA,159747985
"Amorpha fruticosa",5357407,"SPECIES","ACCEPTED","Plantae","5357407: Amorpha fruticosa L.",152545041
"Amphiachyris dracunculoides",3110041,"SPECIES","ACCEPTED","Plantae","3110041: Amphiachyris dracunculoides (DC.) Nutt.",152544292
"Amphibalanus amphitrite",NA,NA,NA,NA,NA,152544017
"Amphibalanus improvisus",6467647,"SPECIES","ACCEPTED","Animalia","2115717: Balanus improvisus Darwin, 1854",NA
"Amphibalanus reticulatus",NA,NA,NA,NA,NA,152544011
"Amphibalanus variegatus",NA,NA,NA,NA,NA,159748086
"Amsinckia lycopsoides",8386733,"SPECIES","DOUBTFUL","Plantae","8386733: Amsinckia lycopsoides Lehm. ex Fisch. & C.A.Mey.",152545534
"Amsinckia menziesii",2925870,"SPECIES","ACCEPTED","Plantae","4058401: Amsinckia micrantha Suksd. | 2925870: Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr. | 6395044: Amsinckia menziesii var. menziesii",159748558
"Amsinckia tessellata",NA,NA,NA,NA,NA,152545536
"Anacridium aegyptium",1702101,"SPECIES","ACCEPTED","Animalia","1702101: Anacridium aegyptium (Linnaeus, 1764)",152544369
"Anacyclus clavatus",3148589,"SPECIES","ACCEPTED","Plantae","3148589: Anacyclus clavatus (Desf.) Pers.",152543868
"Anacyclus radiatus",3148560,"SPECIES","ACCEPTED","Plantae","3148560: Anacyclus radiatus Loisel.",152543870
"Anacyclus valentinus",3148548,"SPECIES","ACCEPTED","Plantae","3148548: Anacyclus valentinus L.",152543867
"Anaphalis margaritacea",4926336,"SPECIES","ACCEPTED","Plantae","4926336: Anaphalis margaritacea (L.) Benth.",152543982
"Anaphalis triplinervis",3136929,"SPECIES","ACCEPTED","Plantae","3136929: Anaphalis triplinervis (Sims) C.B.Clarke",152543986
"Anarrhinum bellidifolium",NA,NA,NA,NA,NA,152545635
"Anas americana",2498154,"SPECIES","ACCEPTED","Animalia","2498155: Mareca americana (Gmelin, 1789) | 2498154: Anas americana Gmelin, 1789",152543240
"Anas bahamensis",2498090,"SPECIES","ACCEPTED","Animalia","2498090: Anas bahamensis Linnaeus, 1758",159747010
"Anas capensis",2498094,"SPECIES","ACCEPTED","Animalia","2498094: Anas capensis Gmelin, 1789",159747012
"Anas castanea",2498097,"SPECIES","ACCEPTED","Animalia","2498097: Anas castanea (Eyton, 1838)",159747023
"Anas cyanoptera",2498139,"SPECIES","ACCEPTED","Animalia","2498139: Anas cyanoptera Vieillot, 1816 | 9345027: Spatula cyanoptera (Vieillot, 1816)",159747029
"Anas erythrorhyncha",2498064,"SPECIES","ACCEPTED","Animalia","2498064: Anas erythrorhyncha Gmelin, 1789",159747013
"Anas falcata",2498096,"SPECIES","ACCEPTED","Animalia","9480191: Mareca falcata (Georgi, 1775) | 2498096: Anas falcata Georgi, 1775",152543241
"Anas flavirostris",2498065,"SPECIES","ACCEPTED","Animalia","2498065: Anas flavirostris Vieillot, 1816",159747014
"Anas formosa",2498107,"SPECIES","ACCEPTED","Animalia","9235549: Sibirionetta formosa (Georgi, 1775) | 2498107: Anas formosa Georgi, 1775",159747026
"Anas gibberifrons",NA,NA,NA,NA,NA,159747024
"Anas hottentota",2498071,"SPECIES","ACCEPTED","Animalia","9496048: Spatula hottentota (Eyton, 1838)",159747007
"Anas laysanensis",NA,NA,NA,NA,NA,159747018
"Anas luzonica",2498108,"SPECIES","ACCEPTED","Animalia","2498108: Anas luzonica Fraser, 1839",159747016
"Anas poecilorhyncha",9450106,"SPECIES","ACCEPTED","Animalia","9450106: Anas poecilorhyncha J.R.Forster, 1781",159747005
"Anas puna",2498131,"SPECIES","ACCEPTED","Animalia","9583342: Spatula puna (Tschudi, 1844)",159747030
"Anas rhynchotis",2498145,"SPECIES","ACCEPTED","Animalia","9288935: Spatula rhynchotis (Latham, 1801)",159747032
"Anas sibilatrix",2498110,"SPECIES","ACCEPTED","Animalia","2498110: Anas sibilatrix Poeppig, 1829 | 9508460: Mareca sibilatrix (Poeppig, 1829)",152543239
"Anas superciliosa",2498084,"SPECIES","ACCEPTED","Animalia","2498084: Anas superciliosa Gmelin, 1789",159747008
"Anas undulata",2498156,"SPECIES","ACCEPTED","Animalia","2498156: Anas undulata C.F.Dubois, 1839",159747028
"Anas versicolor",2498114,"SPECIES","ACCEPTED","Animalia","2498114: Anas versicolor Vieillot, 1816 | 9305555: Spatula versicolor (Vieillot, 1816)",159747020
"Anastomus lamelligerus",5229411,"SPECIES","ACCEPTED","Animalia","5229411: Anastomus lamelligerus Temminck, 1823",159747354
"Anchusa azurea",5341198,"SPECIES","ACCEPTED","Plantae","5341198: Anchusa azurea Mill.",152545495
"Anchusa ochroleuca",NA,NA,NA,NA,NA,152545494
"Anchusa officinalis",7295374,"SUBSPECIES","ACCEPTED","Plantae","7295374: Anchusa officinalis subsp. officinalis",NA
"Anchusa officinalis officinalis",NA,NA,NA,NA,NA,152545493
"Anchusa procera",NA,NA,NA,NA,NA,152545492
"Androsace maxima",3169329,"SPECIES","ACCEPTED","Plantae","3169329: Androsace maxima L.",152545825
"Andryala integrifolia",3105508,"SPECIES","ACCEPTED","Plantae","3105508: Andryala integrifolia L.",NA
"Anemone apennina",3927746,"SPECIES","ACCEPTED","Plantae","3922062: Anemonoides apennina (L.) Holub | 3927746: Anemone apennina L.",152546340
"Anemone blanda",3033242,"SPECIES","ACCEPTED","Plantae","3922048: Anemonoides blanda (Schott & Kotschy) Holub | 3033242: Anemone blanda Schott & Kotschy",152546343
"Anemone coronaria",3033261,"SPECIES","ACCEPTED","Plantae","3033261: Anemone coronaria L.",152546344
"Anemone hybrida",NA,NA,NA,NA,NA,152546342
"Anemone sylvestris",3922888,"SPECIES","ACCEPTED","Plantae","3922888: Anemone sylvestris L.",152546341
"Anethum graveolens",3034646,"SPECIES","ACCEPTED","Plantae","3034646: Anethum graveolens L.",152544635
"Angelica archangelica",5371808,"SPECIES","ACCEPTED","Plantae","5371808: Angelica archangelica L.",152544535
"Anguillicoloides crassus",NA,NA,NA,NA,NA,154367584
"Anisocampium niponicum",8241853,"SPECIES","ACCEPTED","Plantae","8241853: Anisocampium niponicum (Mett.) Yea C.Liu, W.L.Chiou & M.Kato",152547195
"Anoda cristata",3152493,"SPECIES","ACCEPTED","Plantae","3152493: Anoda cristata (L.) Schltdl.",152546239
"Anopheles pharoensis",1650106,"SPECIES","ACCEPTED","Animalia","1650106: Anopheles pharoensis Theobald, 1901",152544332
"Anoplophora chinensis",NA,NA,NA,NA,NA,152544536
"Anoplophora glabripennis",7572133,"SPECIES","ACCEPTED","Animalia","7572133: Anoplophora glabripennis (Motschulsky, 1854)",152544533
"Anser anser",NA,NA,NA,NA,NA,152543234
"Anser cygnoides",2498034,"SPECIES","ACCEPTED","Animalia","9576332: Anser cygnoides f. domesticus | 2498034: Anser cygnoides (Linnaeus, 1758)",159747106
"Anser fabalis",NA,NA,NA,NA,NA,152543231
"Anser indicus",2498035,"SPECIES","ACCEPTED","Animalia","2498035: Anser indicus (Latham, 1790)",152543235
"Anthemis ruthenica",3102823,"SPECIES","ACCEPTED","Plantae","3102823: Anthemis ruthenica M.Bieb.",NA
"Anthoxanthum aristatum",2705972,"SPECIES","ACCEPTED","Plantae","2705972: Anthoxanthum aristatum Boiss.",152547011
"Anthoxanthum nitens",2703346,"SPECIES","ACCEPTED","Plantae","2703336: Hierochloe odorata (L.) P.Beauv. | 2703346: Anthoxanthum nitens (Weber) Y.Schouten & Veldkamp",152547012
"Anthriscus cerefolium",5371746,"SPECIES","ACCEPTED","Plantae","5371746: Anthriscus cerefolium (L.) Hoffm. | 7851664: Cerefolium cerefolium (L.) Schinz & Thell.",152544543
"Anthropoides paradiseus",NA,NA,NA,NA,NA,159747497
"Anthropoides virgo",2474936,"SPECIES","ACCEPTED","Animalia","5789355: Grus virgo (Linnaeus, 1758)",159747498
"Anthyllis vulneraria",5352425,"SUBSPECIES","ACCEPTED","Plantae","5352425: Anthyllis vulneraria subsp. carpatica (Pant.) Nyman | 11318069: Anthyllis vulneraria subsp. pseudovulneraria (Sagorski) Cullen | 5627160: Anthyllis vulneraria subsp. pseudovulneraria (Sagorski) J.Duvign.",NA
"Anthyllis vulneraria carpatica",NA,NA,NA,NA,NA,152545106
"Anthyllis vulneraria polyphylla",NA,NA,NA,NA,NA,152545105
"Antirrhinum graniticum",NA,NA,NA,NA,NA,152545687
"Antirrhinum majus",3172001,"SPECIES","ACCEPTED","Plantae","3172001: Antirrhinum majus L.",152545688
"Apera intermedia",5676903,"SPECIES","ACCEPTED","Plantae","5676903: Apera intermedia Hack.",152546878
"Apera interrupta",5289643,"SPECIES","ACCEPTED","Plantae","5289643: Apera interrupta (L.) P.Beauv.",152546879
"Aphanomyces astaci",NA,NA,NA,NA,NA,152543102
"Aplidium glabrum",2330928,"SPECIES","ACCEPTED","Animalia","2330928: Aplidium glabrum (Verrill, 1871)",159747732
"Aponogeton distachyos",5328593,"SPECIES","ACCEPTED","Plantae","5328593: Aponogeton distachyos L.f.",152546557
