"taxonKey","year","obs","cobs","ncells","c_ncells","classKey","protected","classsKey"
3040233,1951,6,183,6,4,220,FALSE,NA
3040233,1952,2,6,2,2,220,FALSE,NA
3040233,1953,3,31,3,1,220,FALSE,NA
3040233,1954,4,184,4,4,220,FALSE,NA
3040233,1955,4,1,4,1,220,FALSE,NA
3040233,1956,3,103,3,2,220,FALSE,NA
3040233,1957,2,145,2,2,220,FALSE,NA
3040233,1958,1,72,1,1,220,FALSE,NA
3040233,1959,2,88,2,2,220,FALSE,NA
3040233,1960,0,0,0,0,220,FALSE,NA
3040233,1961,4,20,4,1,220,FALSE,NA
3040233,1962,1,2,1,1,220,FALSE,NA
3040233,1963,1,0,1,0,220,FALSE,NA
3040233,1964,1,0,1,0,220,FALSE,NA
3040233,1965,0,0,0,0,220,FALSE,NA
3040233,1966,1,0,1,0,220,FALSE,NA
3040233,1967,1,3,1,1,220,FALSE,NA
3040233,1968,0,0,0,0,220,FALSE,NA
3040233,1969,0,0,0,0,220,FALSE,NA
3040233,1970,0,0,0,0,220,FALSE,NA
3040233,1971,0,0,0,0,220,FALSE,NA
3040233,1972,85,10827,82,82,220,FALSE,NA
3040233,1973,0,0,0,0,220,FALSE,NA
3040233,1974,8,437,8,6,220,FALSE,NA
3040233,1975,3,110,3,3,220,FALSE,NA
3040233,1976,1,33,1,1,220,FALSE,NA
3040233,1977,8,367,8,7,220,FALSE,NA
3040233,1978,7,789,7,7,220,FALSE,NA
3040233,1979,22,1089,17,17,220,FALSE,NA
3040233,1980,11,625,11,11,220,FALSE,NA
3040233,1981,5,519,5,5,220,FALSE,NA
3040233,1982,15,935,14,14,220,FALSE,NA
3040233,1983,12,530,12,11,220,FALSE,NA
3040233,1984,19,833,16,16,220,FALSE,NA
3040233,1985,12,643,11,10,220,FALSE,NA
3040233,1986,6,1330,6,6,220,FALSE,NA
3040233,1987,10,1431,9,8,220,FALSE,NA
3040233,1988,17,1537,17,17,220,FALSE,NA
3040233,1989,24,1358,24,24,220,FALSE,NA
3040233,1990,11,768,11,11,220,FALSE,NA
3040233,1991,19,1927,17,17,220,FALSE,NA
3040233,1992,8,398,8,8,220,FALSE,NA
3040233,1993,4,404,4,4,220,FALSE,NA
3040233,1994,17,1401,12,12,220,FALSE,NA
3040233,1995,35,1960,27,27,220,FALSE,NA
3040233,1996,39,2126,37,37,220,FALSE,NA
3040233,1997,93,6726,91,91,220,FALSE,NA
3040233,1998,43,2965,43,41,220,FALSE,NA
3040233,1999,68,4680,63,63,220,FALSE,NA
3040233,2000,79,6433,75,74,220,FALSE,NA
3040233,2001,50,3644,48,48,220,FALSE,NA
3040233,2002,58,3786,55,54,220,FALSE,NA
3040233,2003,63,5346,59,59,220,FALSE,NA
3040233,2004,46,3600,45,45,220,FALSE,NA
3040233,2005,25,1332,24,24,220,FALSE,NA
3040233,2006,29,1948,28,28,220,FALSE,NA
3040233,2007,25,1199,25,24,220,FALSE,NA
3040233,2008,41,2119,39,39,220,FALSE,NA
3040233,2009,53,5984,53,51,220,FALSE,NA
3040233,2010,97,4961,88,87,220,FALSE,NA
3040233,2011,93,5154,84,83,220,FALSE,NA
3040233,2012,127,6800,117,115,220,FALSE,NA
3040233,2013,101,4688,90,90,220,FALSE,NA
3040233,2014,126,8205,112,111,220,FALSE,NA
3040233,2015,180,10912,151,151,220,FALSE,NA
3040233,2016,205,11321,144,144,220,FALSE,NA
3040233,2017,263,16072,184,182,220,FALSE,NA
3040233,2018,389,27962,324,318,220,FALSE,NA
3040233,2019,587,24487,475,470,220,FALSE,NA
3040233,2020,708,26121,569,560,220,FALSE,NA
3040233,2021,458,12164,286,276,220,FALSE,NA
3040233,2022,0,0,0,0,220,FALSE,NA
5365705,1951,3,101,3,3,220,FALSE,NA
5365705,1952,3,86,3,3,220,FALSE,NA
5365705,1953,4,68,3,3,220,FALSE,NA
5365705,1954,1,19,1,1,220,FALSE,NA
5365705,1955,6,120,4,4,220,FALSE,NA
5365705,1956,2,88,2,2,220,FALSE,NA
5365705,1957,2,88,2,2,220,FALSE,NA
5365705,1958,2,122,2,2,220,FALSE,NA
5365705,1959,0,0,0,0,220,FALSE,NA
5365705,1960,1,58,1,1,220,FALSE,NA
5365705,1961,1,21,1,1,220,FALSE,NA
5365705,1962,0,0,0,0,220,FALSE,NA
5365705,1963,0,0,0,0,220,FALSE,NA
5365705,1964,0,0,0,0,220,FALSE,NA
5365705,1965,0,0,0,0,220,FALSE,NA
5365705,1966,1,52,1,1,220,FALSE,NA
5365705,1967,2,87,2,2,220,FALSE,NA
5365705,1968,1,60,1,1,220,FALSE,NA
5365705,1969,0,0,0,0,220,FALSE,NA
5365705,1970,1,11,1,1,220,FALSE,NA
5365705,1971,0,0,0,0,220,FALSE,NA
5365705,1972,33,2888,32,31,220,FALSE,NA
5365705,1973,4,91,4,4,220,FALSE,NA
5365705,1974,2,70,2,2,220,FALSE,NA
5365705,1975,7,178,7,5,220,FALSE,NA
5365705,1976,9,394,9,9,220,FALSE,NA
5365705,1977,0,0,0,0,220,FALSE,NA
5365705,1978,9,445,8,8,220,FALSE,NA
5365705,1979,16,1204,16,16,220,FALSE,NA
5365705,1980,9,514,9,8,220,FALSE,NA
5365705,1981,4,101,3,3,220,FALSE,NA
5365705,1982,2,12,2,2,220,FALSE,NA
5365705,1983,8,248,8,8,220,FALSE,NA
5365705,1984,9,493,8,7,220,FALSE,NA
5365705,1985,8,336,8,6,220,FALSE,NA
5365705,1986,8,399,8,8,220,FALSE,NA
5365705,1987,14,1384,13,13,220,FALSE,NA
5365705,1988,24,1025,19,18,220,FALSE,NA
5365705,1989,6,206,6,6,220,FALSE,NA
5365705,1990,12,604,12,12,220,FALSE,NA
5365705,1991,23,1665,22,22,220,FALSE,NA
5365705,1992,8,464,8,8,220,FALSE,NA
5365705,1993,8,443,7,7,220,FALSE,NA
5365705,1994,11,784,10,10,220,FALSE,NA
5365705,1995,6,217,6,5,220,FALSE,NA
5365705,1996,6,491,6,6,220,FALSE,NA
5365705,1997,3,156,3,2,220,FALSE,NA
5365705,1998,7,469,7,7,220,FALSE,NA
5365705,1999,9,498,8,8,220,FALSE,NA
5365705,2000,5,214,3,3,220,FALSE,NA
5365705,2001,9,335,8,8,220,FALSE,NA
5365705,2002,8,404,6,6,220,FALSE,NA
5365705,2003,15,246,12,11,220,FALSE,NA
5365705,2004,14,787,12,12,220,FALSE,NA
5365705,2005,8,322,8,8,220,FALSE,NA
5365705,2006,13,352,12,11,220,FALSE,NA
5365705,2007,8,206,7,7,220,FALSE,NA
5365705,2008,28,736,26,23,220,FALSE,NA
5365705,2009,29,859,27,27,220,FALSE,NA
5365705,2010,50,1170,39,39,220,FALSE,NA
5365705,2011,56,2103,40,37,220,FALSE,NA
5365705,2012,60,1557,49,48,220,FALSE,NA
5365705,2013,41,664,35,34,220,FALSE,NA
5365705,2014,45,1041,32,32,220,FALSE,NA
5365705,2015,57,2512,40,39,220,FALSE,NA
5365705,2016,37,2105,29,29,220,FALSE,NA
5365705,2017,53,3165,34,34,220,FALSE,NA
5365705,2018,65,3924,39,38,220,FALSE,NA
5365705,2019,105,3392,62,61,220,FALSE,NA
5365705,2020,149,7357,89,87,220,FALSE,NA
5365705,2021,50,1797,31,31,220,FALSE,NA
5365705,2022,0,0,0,0,220,FALSE,NA
9350124,1951,2,0,2,0,358,FALSE,NA
9350124,1952,0,0,0,0,358,FALSE,NA
9350124,1953,0,0,0,0,358,FALSE,NA
9350124,1954,2,0,2,0,358,FALSE,NA
9350124,1955,0,0,0,0,358,FALSE,NA
9350124,1956,0,0,0,0,358,FALSE,NA
9350124,1957,2,0,2,0,358,FALSE,NA
9350124,1958,0,0,0,0,358,FALSE,NA
9350124,1959,0,0,0,0,358,FALSE,NA
9350124,1960,2,0,2,0,358,FALSE,NA
9350124,1961,2,0,1,0,358,FALSE,NA
9350124,1962,0,0,0,0,358,FALSE,NA
9350124,1963,2,0,2,0,358,FALSE,NA
9350124,1964,2,0,2,0,358,FALSE,NA
9350124,1965,0,0,0,0,358,FALSE,NA
9350124,1966,6,0,6,0,358,FALSE,NA
9350124,1967,6,0,5,0,358,FALSE,NA
9350124,1968,8,3,7,2,358,FALSE,NA
9350124,1969,4,0,3,0,358,FALSE,NA
9350124,1970,2,0,1,0,358,FALSE,NA
9350124,1971,4,0,4,0,358,FALSE,NA
9350124,1972,0,0,0,0,358,FALSE,NA
9350124,1973,0,0,0,0,358,FALSE,NA
9350124,1974,2,0,2,0,358,FALSE,NA
9350124,1975,0,0,0,0,358,FALSE,NA
9350124,1976,2,0,1,0,358,FALSE,NA
9350124,1977,2,0,2,0,358,FALSE,NA
9350124,1978,0,0,0,0,358,FALSE,NA
9350124,1979,0,0,0,0,358,FALSE,NA
9350124,1980,0,0,0,0,358,FALSE,NA
9350124,1981,0,0,0,0,358,FALSE,NA
9350124,1982,0,0,0,0,358,FALSE,NA
9350124,1983,2,0,1,0,358,FALSE,NA
9350124,1984,0,0,0,0,358,FALSE,NA
9350124,1985,0,0,0,0,358,FALSE,NA
9350124,1986,0,0,0,0,358,FALSE,NA
9350124,1987,0,0,0,0,358,FALSE,NA
9350124,1988,0,0,0,0,358,FALSE,NA
9350124,1989,0,0,0,0,358,FALSE,NA
9350124,1990,2,0,2,0,358,FALSE,NA
9350124,1991,0,0,0,0,358,FALSE,NA
9350124,1992,2,0,2,0,358,FALSE,NA
9350124,1993,0,0,0,0,358,FALSE,NA
9350124,1994,0,0,0,0,358,FALSE,NA
9350124,1995,0,0,0,0,358,FALSE,NA
9350124,1996,0,0,0,0,358,FALSE,NA
9350124,1997,0,0,0,0,358,FALSE,NA
9350124,1998,0,0,0,0,358,FALSE,NA
9350124,1999,0,0,0,0,358,FALSE,NA
9350124,2000,0,0,0,0,358,FALSE,NA
9350124,2001,0,0,0,0,358,FALSE,NA
9350124,2002,0,0,0,0,358,FALSE,NA
9350124,2003,0,0,0,0,358,FALSE,NA
9350124,2004,0,0,0,0,358,FALSE,NA
9350124,2005,0,0,0,0,358,FALSE,NA
9350124,2006,2,0,2,0,358,FALSE,NA
9350124,2007,0,0,0,0,358,FALSE,NA
9350124,2008,1,2,1,1,358,FALSE,NA
9350124,2009,0,0,0,0,358,FALSE,NA
9350124,2010,0,0,0,0,358,FALSE,NA
9350124,2011,0,0,0,0,358,FALSE,NA
9350124,2012,0,0,0,0,358,FALSE,NA
9350124,2013,0,0,0,0,358,FALSE,NA
9350124,2014,3,4,3,1,358,FALSE,NA
9350124,2015,0,0,0,0,358,FALSE,NA
9350124,2016,0,0,0,0,358,FALSE,NA
9350124,2017,0,0,0,0,358,FALSE,NA
9350124,2018,0,0,0,0,358,FALSE,NA
9350124,2019,2,0,1,0,358,FALSE,NA
9350124,2020,5,0,5,0,358,FALSE,NA
9350124,2021,9,0,9,0,358,FALSE,NA
9350124,2022,0,0,0,0,358,FALSE,NA
5289686,1951,1,39,1,1,196,FALSE,NA
5289686,1952,4,21,3,2,196,FALSE,NA
5289686,1953,9,51,8,8,196,FALSE,NA
5289686,1954,6,33,5,4,196,FALSE,NA
5289686,1955,2,9,1,1,196,FALSE,NA
5289686,1956,2,9,1,1,196,FALSE,NA
5289686,1957,0,0,0,0,196,FALSE,NA
5289686,1958,1,6,1,1,196,FALSE,NA
5289686,1959,1,5,1,1,196,FALSE,NA
5289686,1960,0,0,0,0,196,FALSE,NA
5289686,1961,0,0,0,0,196,FALSE,NA
5289686,1962,0,0,0,0,196,FALSE,NA
5289686,1963,0,0,0,0,196,FALSE,NA
5289686,1964,0,0,0,0,196,FALSE,NA
5289686,1965,2,0,2,0,196,FALSE,NA
5289686,1966,0,0,0,0,196,FALSE,NA
5289686,1967,0,0,0,0,196,FALSE,NA
5289686,1968,0,0,0,0,196,FALSE,NA
5289686,1969,0,0,0,0,196,FALSE,NA
5289686,1970,0,0,0,0,196,FALSE,NA
5289686,1971,0,0,0,0,196,FALSE,NA
5289686,1972,62,1818,60,59,196,FALSE,NA
5289686,1973,0,0,0,0,196,FALSE,NA
5289686,1974,0,0,0,0,196,FALSE,NA
5289686,1975,1,28,1,1,196,FALSE,NA
5289686,1976,1,0,1,0,196,FALSE,NA
5289686,1977,1,0,1,0,196,FALSE,NA
5289686,1978,0,0,0,0,196,FALSE,NA
5289686,1979,0,0,0,0,196,FALSE,NA
